#data for Fig. 3(a)
#rms dynamics for effective model. See SM for more details.

#Parameters: J_perp = 5t, J_parallel = 0.

#tau: evolution time

#Delta_rms: root-mean-square of Delta = (x1 - x2)/2
#Delta_std: standard error on Delta_rms estimated from sampling 

#X_rms: root-mean-square of X = (x1 + x2)/2
#norm: norm of wave function (should be 1 always)

tau 	  X_rms	 	 norm

0.0000000 0.0000000 1.0000000
0.0250000 0.0249990 1.0000000
0.0500000 0.0499919 1.0000000
0.0750000 0.0749727 1.0000000
0.1000000 0.0999354 1.0000000
0.1250000 0.1248745 1.0000000
0.1500000 0.1497844 1.0000000
0.1750000 0.1746599 1.0000000
0.2000000 0.1994963 1.0000000
0.2250000 0.2242891 1.0000000
0.2500000 0.2490342 1.0000000
0.2750000 0.2737282 1.0000000
0.3000000 0.2983678 1.0000000
0.3250000 0.3229505 1.0000000
0.3500000 0.3474740 1.0000000
0.3750000 0.3719366 1.0000000
0.4000000 0.3963371 1.0000000
0.4250000 0.4206745 1.0000000
0.4500000 0.4449483 1.0000000
0.4750000 0.4691584 1.0000000
0.5000000 0.4933048 1.0000000
0.5250000 0.5173880 1.0000000
0.5500000 0.5414084 1.0000000
0.5750000 0.5653667 1.0000000
0.6000000 0.5892635 1.0000000
0.6250000 0.6130995 1.0000000
0.6500000 0.6368754 1.0000000
0.6750000 0.6605915 1.0000000
0.7000000 0.6842482 1.0000000
0.7250000 0.7078455 1.0000000
0.7500000 0.7313832 1.0000000
0.7750000 0.7548607 1.0000000
0.8000000 0.7782771 1.0000000
0.8250000 0.8016312 1.0000000
0.8500000 0.8249211 1.0000000
0.8750000 0.8481448 1.0000000
0.9000000 0.8712999 1.0000000
0.9250000 0.8943836 1.0000000
0.9500000 0.9173925 1.0000000
0.9750000 0.9403232 1.0000000
1.0000000 0.9631718 1.0000000
1.0250000 0.9859342 1.0000000
1.0500000 1.0086063 1.0000000
1.0750000 1.0311836 1.0000000
1.1000000 1.0536616 1.0000000
1.1250000 1.0760358 1.0000000
1.1500000 1.0983018 1.0000000
1.1750000 1.1204554 1.0000000
1.2000000 1.1424922 1.0000000
1.2250000 1.1644086 1.0000000
1.2500000 1.1862008 1.0000000
1.2750000 1.2078657 1.0000000
1.3000000 1.2294005 1.0000000
1.3250000 1.2508028 1.0000000
1.3500000 1.2720708 1.0000000
1.3750000 1.2932031 1.0000000
1.4000000 1.3141989 1.0000000
1.4250000 1.3350581 1.0000000
1.4500000 1.3557808 1.0000000
1.4750000 1.3763682 1.0000000
1.5000000 1.3968215 1.0000000
1.5250000 1.4171427 1.0000000
1.5500000 1.4373343 1.0000000
1.5750000 1.4573991 1.0000000
1.6000000 1.4773405 1.0000000
1.6250000 1.4971622 1.0000000
1.6500000 1.5168681 1.0000000
1.6750000 1.5364625 1.0000000
1.7000000 1.5559497 1.0000000
1.7250000 1.5753343 1.0000000
1.7500000 1.5946209 1.0000000
1.7750000 1.6138141 1.0000000
1.8000000 1.6329184 1.0000000
1.8250000 1.6519383 1.0000000
1.8500000 1.6708778 1.0000000
1.8750000 1.6897411 1.0000000
1.9000000 1.7085318 1.0000000
1.9250000 1.7272533 1.0000000
1.9500000 1.7459088 1.0000000
1.9750000 1.7645009 1.0000000
2.0000000 1.7830319 1.0000000
2.0250000 1.8015038 1.0000000
2.0500000 1.8199180 1.0000000
2.0750000 1.8382759 1.0000000
2.1000000 1.8565781 1.0000000
2.1250000 1.8748250 1.0000000
2.1500000 1.8930169 1.0000000
2.1750000 1.9111534 1.0000000
2.2000000 1.9292341 1.0000000
2.2250000 1.9472585 1.0000000
2.2500000 1.9652255 1.0000000
2.2750000 1.9831344 1.0000000
2.3000000 2.0009839 1.0000000
2.3250000 2.0187729 1.0000000
2.3500000 2.0365004 1.0000000
2.3750000 2.0541653 1.0000000
2.4000000 2.0717664 1.0000000
2.4250000 2.0893030 1.0000000
2.4500000 2.1067742 1.0000000
2.4750000 2.1241793 1.0000000
2.5000000 2.1415181 1.0000000
2.5250000 2.1587901 1.0000000
2.5500000 2.1759954 1.0000000
2.5750000 2.1931341 1.0000000
2.6000000 2.2102066 1.0000000
2.6250000 2.2272135 1.0000000
2.6500000 2.2441555 1.0000000
2.6750000 2.2610335 1.0000000
2.7000000 2.2778487 1.0000000
2.7250000 2.2946022 1.0000000
2.7500000 2.3112954 1.0000000
2.7750000 2.3279297 1.0000000
2.8000000 2.3445066 1.0000000
2.8250000 2.3610275 1.0000000
2.8500000 2.3774940 1.0000000
2.8750000 2.3939076 1.0000000
2.9000000 2.4102696 1.0000000
2.9250000 2.4265813 1.0000000
2.9500000 2.4428442 1.0000000
2.9750000 2.4590591 1.0000000
3.0000000 2.4752273 1.0000000
3.0250000 2.4913496 1.0000000
3.0500000 2.5074267 1.0000000
3.0750000 2.5234591 1.0000000
3.1000000 2.5394474 1.0000000
3.1250000 2.5553918 1.0000000
3.1500000 2.5712926 1.0000000
3.1750000 2.5871497 1.0000000
3.2000000 2.6029632 1.0000000
3.2250000 2.6187329 1.0000000
3.2500000 2.6344586 1.0000000
3.2750000 2.6501402 1.0000000
3.3000000 2.6657773 1.0000000
3.3250000 2.6813696 1.0000000
3.3500000 2.6969169 1.0000000
3.3750000 2.7124191 1.0000000
3.4000000 2.7278759 1.0000000
3.4250000 2.7432874 1.0000000
3.4500000 2.7586533 1.0000000
3.4750000 2.7739740 1.0000000
3.5000000 2.7892497 1.0000000
3.5250000 2.8044805 1.0000000
3.5500000 2.8196671 1.0000000
3.5750000 2.8348100 1.0000000
3.6000000 2.8499098 1.0000000
3.6250000 2.8649674 1.0000000
3.6500000 2.8799836 1.0000000
3.6750000 2.8949595 1.0000000
3.7000000 2.9098960 1.0000000
3.7250000 2.9247943 1.0000000
3.7500000 2.9396555 1.0000000
3.7750000 2.9544806 1.0000000
3.8000000 2.9692710 1.0000000
3.8250000 2.9840275 1.0000000
3.8500000 2.9987514 1.0000000
3.8750000 3.0134434 1.0000000
3.9000000 3.0281046 1.0000000
3.9250000 3.0427355 1.0000000
3.9500000 3.0573370 1.0000000
3.9750000 3.0719094 1.0000000
4.0000000 3.0864531 1.0000000
4.0250000 3.1009682 1.0000000
4.0500000 3.1154547 1.0000000
4.0750000 3.1299125 1.0000000
4.1000000 3.1443412 1.0000000
4.1250000 3.1587403 1.0000000
4.1500000 3.1731092 1.0000000
4.1750000 3.1874469 1.0000000
4.2000000 3.2017527 1.0000000
4.2250000 3.2160254 1.0000000
4.2500000 3.2302638 1.0000000
4.2750000 3.2444667 1.0000000
4.3000000 3.2586328 1.0000000
4.3250000 3.2727607 1.0000000
4.3500000 3.2868491 1.0000000
4.3750000 3.3008965 1.0000000
4.4000000 3.3149017 1.0000000
4.4250000 3.3288632 1.0000000
4.4500000 3.3427799 1.0000000
4.4750000 3.3566505 1.0000000
4.5000000 3.3704741 1.0000000
4.5250000 3.3842495 1.0000000
4.5500000 3.3979759 1.0000000
4.5750000 3.4116526 1.0000000
4.6000000 3.4252790 1.0000000
4.6250000 3.4388547 1.0000000
4.6500000 3.4523793 1.0000000
4.6750000 3.4658525 1.0000000
4.7000000 3.4792745 1.0000000
4.7250000 3.4926451 1.0000000
4.7500000 3.5059647 1.0000000
4.7750000 3.5192335 1.0000000
4.8000000 3.5324519 1.0000000
4.8250000 3.5456204 1.0000000
4.8500000 3.5587396 1.0000000
4.8750000 3.5718101 1.0000000
4.9000000 3.5848325 1.0000000
4.9250000 3.5978076 1.0000000
4.9500000 3.6107360 1.0000000
4.9750000 3.6236186 1.0000000
5.0000000 3.6364560 1.0000000


5.0250000 3.6492490 1.0000000
5.0500000 3.6619982 1.0000000
5.0750000 3.6747043 1.0000000
5.1000000 3.6873679 1.0000000
5.1250000 3.6999896 1.0000000
5.1500000 3.7125699 1.0000000
5.1750000 3.7251093 1.0000000
5.2000000 3.7376082 1.0000000
5.2250000 3.7500669 1.0000000
5.2500000 3.7624859 1.0000000
5.2750000 3.7748653 1.0000000
5.3000000 3.7872055 1.0000000
5.3250000 3.7995066 1.0000000
5.3500000 3.8117688 1.0000000
5.3750000 3.8239922 1.0000000
5.4000000 3.8361771 1.0000000
5.4250000 3.8483236 1.0000000
5.4500000 3.8604316 1.0000000
5.4750000 3.8725015 1.0000000
5.5000000 3.8845333 1.0000000
5.5250000 3.8965272 1.0000000
5.5500000 3.9084833 1.0000000
5.5750000 3.9204018 1.0000000
5.6000000 3.9322829 1.0000000
5.6250000 3.9441268 1.0000000
5.6500000 3.9559338 1.0000000
5.6750000 3.9677040 1.0000000
5.7000000 3.9794378 1.0000000
5.7250000 3.9911355 1.0000000
5.7500000 4.0027973 1.0000000
5.7750000 4.0144236 1.0000000
5.8000000 4.0260146 1.0000000
5.8250000 4.0375707 1.0000000
5.8500000 4.0490923 1.0000000
5.8750000 4.0605796 1.0000000
5.9000000 4.0720329 1.0000000
5.9250000 4.0834525 1.0000000
5.9500000 4.0948387 1.0000000
5.9750000 4.1061918 1.0000000
6.0000000 4.1175120 1.0000000
6.0250000 4.1287995 1.0000000
6.0500000 4.1400546 1.0000000
6.0750000 4.1512774 1.0000000
6.1000000 4.1624682 1.0000000
6.1250000 4.1736270 1.0000000
6.1500000 4.1847542 1.0000000
6.1750000 4.1958498 1.0000000
6.2000000 4.2069141 1.0000000
6.2250000 4.2179472 1.0000000
6.2500000 4.2289494 1.0000000
6.2750000 4.2399208 1.0000000
6.3000000 4.2508617 1.0000000
6.3250000 4.2617725 1.0000000
6.3500000 4.2726534 1.0000000
6.3750000 4.2835048 1.0000000
6.4000000 4.2943271 1.0000000
6.4250000 4.3051209 1.0000000
6.4500000 4.3158866 1.0000000
6.4750000 4.3266249 1.0000000
6.5000000 4.3373364 1.0000000
6.5250000 4.3480218 1.0000000
6.5500000 4.3586818 1.0000000
6.5750000 4.3693173 1.0000000
6.6000000 4.3799291 1.0000000
6.6250000 4.3905182 1.0000000
6.6500000 4.4010854 1.0000000
6.6750000 4.4116318 1.0000000
6.7000000 4.4221583 1.0000000
6.7250000 4.4326658 1.0000000
6.7500000 4.4431555 1.0000000
6.7750000 4.4536283 1.0000000
6.8000000 4.4640852 1.0000000
6.8250000 4.4745270 1.0000000
6.8500000 4.4849548 1.0000000
6.8750000 4.4953693 1.0000000
6.9000000 4.5057713 1.0000000
6.9250000 4.5161616 1.0000000
6.9500000 4.5265408 1.0000000
6.9750000 4.5369095 1.0000000
7.0000000 4.5472682 1.0000000
7.0250000 4.5576173 1.0000000
7.0500000 4.5679571 1.0000000
7.0750000 4.5782877 1.0000000
7.1000000 4.5886094 1.0000000
7.1250000 4.5989222 1.0000000
7.1500000 4.6092259 1.0000000
7.1750000 4.6195205 1.0000000
7.2000000 4.6298058 1.0000000
7.2250000 4.6400814 1.0000000
7.2500000 4.6503469 1.0000000
7.2750000 4.6606021 1.0000000
7.3000000 4.6708464 1.0000000
7.3250000 4.6810794 1.0000000
7.3500000 4.6913004 1.0000000
7.3750000 4.7015090 1.0000000
7.4000000 4.7117047 1.0000000
7.4250000 4.7218868 1.0000000
7.4500000 4.7320549 1.0000000
7.4750000 4.7422084 1.0000000
7.5000000 4.7523468 1.0000000
7.5250000 4.7624697 1.0000000
7.5500000 4.7725768 1.0000000
7.5750000 4.7826675 1.0000000
7.6000000 4.7927416 1.0000000
7.6250000 4.8027989 1.0000000
7.6500000 4.8128391 1.0000000
7.6750000 4.8228622 1.0000000
7.7000000 4.8328679 1.0000000
